country,capital
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Argentina,Buenos Aires
Armenia,Yerevan
Australia,Canberra
Austria,Vienna
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Belarus,Minsk
Belgium,Brussels
Bermuda,Hamilton
Bolivia,Sucre
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
British Virgin Islands,Road Town
Bulgaria,Sofia
Cambodia,Phnom Penh
Cameroon,Yaoundé
Canada,Ottawa
Cayman Islands,George Town
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
Colombia,Bogotá
Costa Rica,San José
Croatia,Zagreb
Cuba,Havana
Cyprus,Nicosia
Czech Republic,Prague
Côte d'Ivoire,Yamoussoukro
Democratic Republic of the Congo,Kinshasa
Denmark,Copenhagen
Dominica,Roseau
Dominican Republic,Santo Domingo
East Timor (Timor-Leste),Dili
Easter Island,Hanga Roa
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Estonia,Tallinn
Ethiopia,Addis Ababa
Fiji,Suva
Finland,Helsinki
France,Paris
Gabon,Libreville
Gambia,Banjul
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Grenada,St. George's
Guam,Hagåtña
Guatemala,Guatemala City
Guinea,Conakry
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavík
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Kenya,Nairobi
Kosovo,Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Madagascar,Antananarivo
Malaysia,Kuala Lumpur
Mali,Bamako
Malta,Valletta
Mexico,Mexico City
Moldova,Chisinau
Monaco,Monaco
Mongolia,Ulaanbaatar
Morocco,Rabat
Mozambique,Maputo
Nauru,Yaren
Nepal,Kathmandu
Netherlands,Amsterdam
New Caledonia,Nouméa
New Zealand,Wellington
Nigeria,Abuja
Niue,Alofi
North Korea,Pyongyang
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palestine,Jerusalem
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Republic of China (Taiwan),Taipei
Republic of the Congo,Brazzaville
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Saudi Arabia,Riyadh
Scotland,Edinburgh
Senegal,Dakar
Serbia,Belgrade
Sierra Leone,Freetown
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,Pretoria
South Korea,Seoul
Spain,Madrid
Sri Lanka,Sri Jayawardenapura Kotte
Sudan,Khartoum
Suriname,Paramaribo
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lomé
Tonga,Nukuʻalofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Uganda,Kampala
Ukraine,Kiev
United Arab Emirates,Abu Dhabi
United Kingdom; England,London
United States,Washington D.C.
United States Virgin Islands,Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wales,Cardiff
Yemen,Sanaá
Zambia,Lusaka
Zimbabwe,Harare
